iter	Passed	Remaining
0	60	60821
1	61	30618
2	61	20511
3	62	15453
4	62	12421
5	62	10397
6	63	8960
7	63	7874
8	63	7031
9	64	6356
10	64	5803
11	64	5344
12	65	4953
13	65	4619
14	65	4329
15	66	4079
16	66	3855
17	67	3657
18	67	3482
19	67	3320
20	68	3173
21	68	3040
22	68	2920
23	69	2809
24	69	2707
25	69	2611
26	70	2526
27	70	2443
28	70	2367
29	71	2296
30	71	2229
31	71	2167
32	71	2108
33	72	2055
34	72	2003
35	72	1954
36	73	1911
37	73	1868
38	74	1827
39	74	1789
40	74	1750
41	75	1714
42	75	1678
43	75	1645
44	76	1613
45	76	1583
46	76	1554
47	76	1526
48	77	1499
49	77	1474
50	77	1449
51	78	1425
52	78	1402
53	78	1380
54	79	1359
55	79	1339
56	79	1319
57	80	1301
58	80	1283
59	80	1265
60	81	1247
61	81	1230
62	81	1214
63	81	1197
64	82	1181
65	82	1166
66	82	1151
67	82	1134
68	83	1120
69	83	1107
70	83	1094
71	83	1081
72	84	1069
73	84	1057
74	84	1045
75	85	1033
76	85	1022
77	85	1011
78	85	1000
79	86	990
80	86	981
81	86	971
82	87	963
83	87	953
84	87	942
85	87	934
86	88	923
87	88	916
88	89	915
89	89	907
90	89	898
91	90	890
92	90	882
93	90	874
94	91	867
95	91	860
96	91	853
97	92	846
98	92	839
99	92	832
100	92	826
101	93	818
102	93	812
103	93	806
104	93	799
105	94	794
106	94	788
107	94	782
108	95	776
109	95	771
110	95	765
111	95	760
112	96	754
113	96	749
114	96	744
115	96	738
116	97	733
117	97	728
118	97	723
119	97	718
120	98	713
121	98	708
122	98	702
123	98	698
124	99	693
125	99	689
126	99	684
127	99	679
128	100	675
129	100	671
130	100	667
131	100	663
132	101	660
133	101	656
134	101	652
135	102	648
136	102	644
137	102	640
138	102	636
139	103	633
140	103	629
141	103	626
142	103	622
143	104	619
144	104	615
145	104	612
146	104	608
147	105	605
148	105	601
149	105	598
150	105	595
151	106	592
152	106	589
153	106	586
154	106	583
155	107	580
156	107	577
157	107	574
158	107	571
159	108	568
160	108	565
161	108	563
162	109	560
163	109	557
164	109	555
165	109	552
166	110	550
167	110	547
168	110	545
169	111	542
170	111	540
171	111	537
172	112	535
173	112	533
174	112	530
175	112	528
176	113	525
177	113	523
178	113	521
179	113	519
180	114	516
181	114	513
182	114	511
183	114	509
184	115	507
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	494
191	116	492
192	117	490
193	117	487
194	117	485
195	117	484
196	118	482
197	118	480
198	118	478
199	119	477
200	119	475
201	119	473
202	120	471
203	120	469
204	120	467
205	120	466
206	121	464
207	121	462
208	121	460
209	121	458
210	122	456
211	122	455
212	122	453
213	123	452
214	123	450
215	123	449
216	124	447
217	124	445
218	124	444
219	124	442
220	125	441
221	125	439
222	125	437
223	125	436
224	126	435
225	126	433
226	126	432
227	127	430
228	127	429
229	127	427
230	128	426
231	128	425
232	128	424
233	129	423
234	129	421
235	129	420
236	130	419
237	130	417
238	130	416
239	131	415
240	131	413
241	131	412
242	131	410
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	402
249	133	401
250	134	400
251	134	398
252	134	397
253	134	395
254	135	394
255	135	393
256	135	391
257	135	390
258	135	388
259	136	387
260	136	386
261	136	384
262	136	383
263	137	382
264	137	380
265	137	379
266	137	378
267	138	377
268	138	375
269	138	374
270	138	373
271	139	372
272	139	371
273	139	370
274	139	368
275	140	367
276	140	366
277	140	365
278	141	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	355
287	143	354
288	143	353
289	144	352
290	144	351
291	144	350
292	144	349
293	145	348
294	145	347
295	145	346
296	145	345
297	146	344
298	146	343
299	146	342
300	146	341
301	147	340
302	147	339
303	147	338
304	148	337
305	148	336
306	148	335
307	148	334
308	149	333
309	149	332
310	149	331
311	150	331
312	150	330
313	150	328
314	150	327
315	151	327
316	151	326
317	151	325
318	151	324
319	152	323
320	152	322
321	152	321
322	152	320
323	153	319
324	153	318
325	153	317
326	153	316
327	154	315
328	154	315
329	154	314
330	155	313
331	155	312
332	155	312
333	156	311
334	156	310
335	156	309
336	156	308
337	157	307
338	157	306
339	157	306
340	157	305
341	158	304
342	158	303
343	158	302
344	158	301
345	159	300
346	159	300
347	159	299
348	159	298
349	160	297
350	160	296
351	160	295
352	161	295
353	161	294
354	161	293
355	161	292
356	162	291
357	162	291
358	162	290
359	162	289
360	163	288
361	163	287
362	163	287
363	163	286
364	164	285
365	164	284
366	164	284
367	164	283
368	165	282
369	165	281
370	165	281
371	166	280
372	166	279
373	166	278
374	166	277
375	166	277
376	167	276
377	167	275
378	167	274
379	168	274
380	168	273
381	168	272
382	168	272
383	169	271
384	169	270
385	169	269
386	169	269
387	170	268
388	170	267
389	170	266
390	170	266
391	171	265
392	171	265
393	171	264
394	172	263
395	172	263
396	172	262
397	173	261
398	173	261
399	173	260
400	174	260
401	174	259
402	174	258
403	174	258
404	175	257
405	175	256
406	175	256
407	176	255
408	176	254
409	176	254
410	176	253
411	177	252
412	177	252
413	177	251
414	178	250
415	178	250
416	178	249
417	178	249
418	179	248
419	179	247
420	179	247
421	180	246
422	180	245
423	180	245
424	180	244
425	181	244
426	181	243
427	181	242
428	181	242
429	182	241
430	182	240
431	182	240
432	183	239
433	183	239
434	183	238
435	183	237
436	184	237
437	184	236
438	184	236
439	185	235
440	185	234
441	185	234
442	185	233
443	186	233
444	186	232
445	186	232
446	187	231
447	187	230
448	187	230
449	187	229
450	188	229
451	188	228
452	188	227
453	189	227
454	189	226
455	189	226
456	189	225
457	190	224
458	190	224
459	190	223
460	190	223
461	191	222
462	191	222
463	191	221
464	191	220
465	192	220
466	192	219
467	192	219
468	192	218
469	193	217
470	193	217
471	193	216
472	193	216
473	194	215
474	194	214
475	194	214
476	195	213
477	195	213
478	195	212
479	195	212
480	196	212
481	196	211
482	197	210
483	197	210
484	197	209
485	197	209
486	197	208
487	198	207
488	198	207
489	198	206
490	198	206
491	199	205
492	199	205
493	199	204
494	199	203
495	200	203
496	200	202
497	200	202
498	201	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
508	203	196
509	204	196
510	204	195
511	204	195
512	204	194
513	205	194
514	205	193
515	205	193
516	206	192
517	206	192
518	206	191
519	207	191
520	207	190
521	207	190
522	207	189
523	208	189
524	208	188
525	208	188
526	208	187
527	209	187
528	209	186
529	209	186
530	210	185
531	210	185
532	210	184
533	210	184
534	211	183
535	211	183
536	211	182
537	211	181
538	212	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	213	177
546	214	177
547	214	176
548	214	176
549	215	175
550	215	175
551	215	174
552	215	174
553	216	174
554	216	173
555	216	173
556	217	172
557	217	172
558	217	171
559	217	171
560	218	170
561	218	170
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	219	167
568	220	166
569	220	166
570	220	165
571	220	165
572	221	164
573	221	164
574	221	163
575	222	163
576	222	162
577	222	162
578	222	161
579	223	161
580	223	161
581	223	160
582	223	160
583	224	159
584	224	159
585	224	158
586	224	158
587	225	157
588	225	157
589	225	156
590	226	156
591	226	155
592	226	155
593	226	155
594	227	154
595	227	154
596	227	153
597	228	153
598	228	152
599	228	152
600	228	151
601	229	151
602	229	150
603	229	150
604	229	150
605	230	149
606	230	149
607	230	148
608	230	148
609	231	147
610	231	147
611	231	146
612	231	146
613	232	145
614	232	145
615	232	145
616	232	144
617	233	144
618	233	143
619	233	143
620	233	142
621	234	142
622	234	141
623	234	141
624	234	140
625	235	140
626	235	140
627	235	139
628	236	139
629	236	138
630	236	138
631	236	137
632	237	137
633	237	137
634	237	136
635	238	136
636	238	135
637	238	135
638	238	134
639	239	134
640	239	134
641	239	133
642	239	133
643	240	132
644	240	132
645	240	131
646	241	131
647	241	131
648	241	130
649	241	130
650	242	129
651	242	129
652	242	128
653	242	128
654	243	128
655	243	127
656	243	127
657	244	126
658	244	126
659	244	125
660	244	125
661	245	125
662	245	124
663	245	124
664	245	123
665	246	123
666	246	123
667	246	122
668	247	122
669	247	121
670	247	121
671	247	121
672	248	120
673	248	120
674	248	119
675	249	119
676	249	118
677	249	118
678	249	118
679	250	117
680	250	117
681	250	116
682	251	116
683	251	116
684	251	115
685	251	115
686	252	114
687	253	114
688	253	114
689	253	113
690	253	113
691	254	113
692	254	112
693	254	112
694	255	111
695	255	111
696	255	111
697	255	110
698	256	110
699	256	109
700	256	109
701	257	109
702	257	108
703	257	108
704	257	107
705	258	107
706	258	107
707	258	106
708	258	106
709	258	105
710	259	105
711	259	104
712	259	104
713	260	104
714	260	103
715	260	103
716	260	102
717	261	102
718	261	102
719	261	101
720	261	101
721	262	100
722	262	100
723	262	100
724	262	99
725	263	99
726	263	98
727	263	98
728	263	98
729	264	97
730	264	97
731	264	96
732	265	96
733	265	96
734	265	95
735	265	95
736	266	94
737	266	94
738	266	94
739	266	93
740	267	93
741	267	92
742	267	92
743	267	92
744	268	91
745	268	91
746	268	91
747	268	90
748	269	90
749	269	89
750	269	89
751	270	89
752	270	88
753	270	88
754	270	87
755	271	87
756	271	87
757	271	86
758	272	86
759	272	85
760	272	85
761	272	85
762	273	84
763	273	84
764	273	84
765	273	83
766	274	83
767	274	82
768	274	82
769	274	82
770	275	81
771	275	81
772	275	80
773	276	80
774	276	80
775	276	79
776	276	79
777	277	79
778	277	78
779	277	78
780	277	77
781	278	77
782	278	77
783	278	76
784	279	76
785	279	76
786	279	75
787	280	75
788	280	74
789	280	74
790	280	74
791	281	73
792	281	73
793	281	73
794	281	72
795	282	72
796	282	71
797	282	71
798	282	71
799	283	70
800	283	70
801	283	70
802	284	69
803	284	69
804	284	68
805	284	68
806	285	68
807	285	67
808	285	67
809	285	67
810	286	66
811	286	66
812	286	65
813	286	65
814	287	65
815	287	64
816	287	64
817	288	64
818	288	63
819	288	63
820	288	62
821	289	62
822	289	62
823	289	61
824	289	61
825	290	61
826	290	60
827	290	60
828	290	59
829	291	59
830	291	59
831	291	58
832	291	58
833	292	58
834	292	57
835	292	57
836	292	57
837	293	56
838	293	56
839	293	55
840	293	55
841	294	55
842	294	54
843	294	54
844	295	54
845	295	53
846	295	53
847	295	53
848	296	52
849	296	52
850	296	51
851	297	51
852	297	51
853	297	50
854	297	50
855	298	50
856	298	49
857	298	49
858	298	49
859	299	48
860	299	48
861	299	47
862	300	47
863	300	47
864	300	46
865	300	46
866	301	46
867	301	45
868	301	45
869	302	45
870	302	44
871	302	44
872	302	44
873	303	43
874	303	43
875	303	42
876	303	42
877	304	42
878	304	41
879	304	41
880	304	41
881	305	40
882	305	40
883	305	40
884	305	39
885	306	39
886	306	39
887	306	38
888	307	38
889	307	37
890	307	37
891	307	37
892	308	36
893	308	36
894	308	36
895	309	35
896	309	35
897	309	35
898	309	34
899	310	34
900	310	34
901	310	33
902	311	33
