iter	Passed	Remaining
0	56	56316
1	56	28239
2	56	18894
3	57	14223
4	57	11419
5	57	9565
6	57	8224
7	58	7216
8	58	6434
9	58	5812
10	58	5299
11	59	4873
12	59	4512
13	59	4200
14	59	3931
15	60	3697
16	60	3492
17	60	3309
18	60	3144
19	61	2994
20	61	2858
21	61	2742
22	62	2635
23	62	2530
24	62	2435
25	62	2352
26	63	2270
27	63	2195
28	63	2125
29	63	2058
30	63	1997
31	64	1940
32	64	1885
33	64	1835
34	64	1787
35	65	1740
36	65	1697
37	65	1655
38	65	1615
39	65	1579
40	66	1544
41	66	1511
42	66	1481
43	66	1451
44	66	1421
45	67	1393
46	67	1366
47	67	1341
48	67	1316
49	68	1293
50	68	1272
51	68	1251
52	68	1231
53	69	1211
54	69	1191
55	69	1172
56	69	1154
57	70	1137
58	70	1119
59	70	1103
60	70	1087
61	70	1071
62	71	1057
63	71	1042
64	71	1028
65	71	1014
66	71	1000
67	72	987
68	72	974
69	72	962
70	72	950
71	72	938
72	73	927
73	73	915
74	73	903
75	73	893
76	73	884
77	73	874
78	74	865
79	74	857
80	74	847
81	74	838
82	75	829
83	75	821
84	75	812
85	75	804
86	75	797
87	76	789
88	76	781
89	76	775
90	76	767
91	77	760
92	77	753
93	78	753
94	78	747
95	78	740
96	78	733
97	79	727
98	79	720
99	79	714
100	79	708
101	79	702
102	79	696
103	80	690
104	80	684
105	80	678
106	80	673
107	80	668
108	81	663
109	81	657
110	81	652
111	81	647
112	81	642
113	82	637
114	82	633
115	82	628
116	82	624
117	82	619
118	83	614
119	83	610
120	83	605
121	83	602
122	83	597
123	84	593
124	84	589
125	84	585
126	84	581
127	84	577
128	84	573
129	85	569
130	85	565
131	85	561
132	85	557
133	85	554
134	85	550
135	86	547
136	86	544
137	86	541
138	86	538
139	87	535
140	87	531
141	87	528
142	87	525
143	87	522
144	87	518
145	88	515
146	88	512
147	88	509
148	88	507
149	88	504
150	89	501
151	89	498
152	89	495
153	89	493
154	89	490
155	90	487
156	90	484
157	90	482
158	90	479
159	90	477
160	91	474
161	91	472
162	91	470
163	91	468
164	92	466
165	92	463
166	92	461
167	92	459
168	92	457
169	93	455
170	93	453
171	93	450
172	93	448
173	94	446
174	94	444
175	94	442
176	94	440
177	94	438
178	95	435
179	95	433
180	95	431
181	95	429
182	95	427
183	96	425
184	96	423
185	96	421
186	96	420
187	96	417
188	96	416
189	97	414
190	97	412
191	97	410
192	97	408
193	97	406
194	98	405
195	98	403
196	98	402
197	98	400
198	99	398
199	99	397
200	99	395
201	99	394
202	99	392
203	100	390
204	100	389
205	100	387
206	100	385
207	101	384
208	101	383
209	101	381
210	101	380
211	101	378
212	102	377
213	102	376
214	102	374
215	102	372
216	102	371
217	103	370
218	103	368
219	103	367
220	103	365
221	103	364
222	104	363
223	104	361
224	104	360
225	104	358
226	104	357
227	105	356
228	105	354
229	105	353
230	105	351
231	105	350
232	106	349
233	106	347
234	106	346
235	106	345
236	106	343
237	107	342
238	107	341
239	107	339
240	107	338
241	107	337
242	107	336
243	108	335
244	108	334
245	108	332
246	108	331
247	109	332
248	109	331
249	110	330
250	111	331
251	111	330
252	111	329
253	111	328
254	111	326
255	112	325
256	112	324
257	112	323
258	112	322
259	112	321
260	113	320
261	113	318
262	113	317
263	113	316
264	113	315
265	114	314
266	114	313
267	114	312
268	114	311
269	114	310
270	115	309
271	115	308
272	115	307
273	115	306
274	115	305
275	116	304
276	116	303
277	116	302
278	116	301
279	116	300
280	117	299
281	117	298
282	117	297
283	117	296
284	117	295
285	118	295
286	118	294
287	118	293
288	118	292
289	118	291
290	119	290
291	119	289
292	119	288
293	119	287
294	119	286
295	120	285
296	120	284
297	120	283
298	120	282
299	120	281
300	121	281
301	121	280
302	121	279
303	121	278
304	121	277
305	122	276
306	122	276
307	122	275
308	122	274
309	122	273
310	123	272
311	123	272
312	123	271
313	123	270
314	123	269
315	124	269
316	124	268
317	124	267
318	124	266
319	125	265
320	125	265
321	125	264
322	125	263
323	125	262
324	126	262
325	126	261
326	126	260
327	126	260
328	127	259
329	127	258
330	127	257
331	127	257
332	127	256
333	128	255
334	128	254
335	128	254
336	128	253
337	129	253
338	129	252
339	129	251
340	129	251
341	130	250
342	130	249
343	130	249
344	130	248
345	131	247
346	131	246
347	131	246
348	131	245
349	131	244
350	131	243
351	132	243
352	132	242
353	132	241
354	132	241
355	132	240
356	133	240
357	133	239
358	133	238
359	134	238
